lat,long,tbs-pasto,ur-pasto,tgn-pasto,tpo-pasto,tbs-sombra,ur-sombra,tgn-sombra,tpo-sombra,posicao,local,classe
-8.61962,-36.61327,29490,44924,36335,16639,32021,35675,33001,14954,1,0,4
-8.61968,-36.61324,28444,45323,34624,15829,29640,41060,31459,15029,1,0,4
-8.61936,-36.61313,28891,44198,34916,15842,31204,36792,32407,14714,1,0,4
-8.61938,-36.61311,28891,44198,34916,15842,31204,36792,32407,14714,1,0,4
-8.61940,-36.61309,28072,46158,33783,15775,29215,40160,31153,14306,1,0,3
-8.61967,-36.61305,27875,46297,32898,15642,30343,40174,31996,15318,1,0,3
-8.61974,-36.61316,27875,46297,32898,15642,30343,40174,31996,15318,1,0,3
-8.61965,-36.61337,27333,47203,34519,15448,28990,41944,31179,14778,1,0,3
-8.61945,-36.61334,26720,50309,29590,15870,27924,46579,30192,15447,1,0,3
-8.61937,-36.61322,26720,50309,29590,15870,27924,46579,30192,15447,1,0,4
-8.61962,-36.61294,25841,50481,17938,15113,26573,49264,29365,15087,1,0,3
-8.61958,-36.61295,24895,55873,30697,15785,25113,53805,28568,15115,1,0,3
-8.61967,-36.61304,24895,55873,30697,15785,25113,53805,28568,15115,1,0,3
-8.61976,-36.61325,23954,57631,23400,15374,23833,55845,27850,14504,0,0,2
-8.61971,-36.61323,23497,59321,23232,15380,23208,60879,27456,15260,0,0,2
-8.61961,-36.61315,23497,59321,23232,15380,23208,60879,27456,15260,1,0,4
-8.61957,-36.61303,23112,63925,24050,16141,22800,63610,27161,15560,1,0,4
-8.61959,-36.61298,22657,66135,17938,16216,22226,68777,26793,16237,1,0,4
-8.61957,-36.61298,22657,66135,17938,16216,22226,68777,26793,16237,1,0,4
-8.61970,-36.61331,22106,69134,17891,16349,21700,72875,26769,16643,1,0,3
-8.61948,-36.61340,21581,70423,17891,16118,21032,75331,25793,16521,1,0,3
-8.61937,-36.61321,21581,70423,17891,16118,21032,75331,25793,16521,1,0,3
-8.61951,-36.61314,21151,71252,17891,15877,20627,77279,25380,16531,1,0,3
-8.61954,-36.61319,21103,72964,36579,16180,20365,79168,25695,16657,1,0,4
-8.61952,-36.61332,21103,72964,36579,16180,20365,79168,25695,16657,1,0,4
-8.61945,-36.61321,20722,72686,20817,15756,20293,78002,25380,16353,1,0,4
-8.61959,-36.61314,20174,73826,28270,15453,19793,79255,25331,16118,1,0,4
-8.61960,-36.61323,20174,73826,28270,15453,19793,79255,25331,16118,1,0,4
-8.61990,-36.61334,19817,74418,17938,15224,19413,80155,25137,15925,1,0,4
-8.61964,-36.61316,19603,74951,17891,15119,19151,80663,25089,15768,1,0,3
-8.61958,-36.61314,19603,74951,17938,15119,19151,80663,25089,15768,1,0,4
-8.61938,-36.61314,19389,75595,17938,15036,18985,80780,25089,15629,1,0,4
-8.61930,-36.61317,19175,76066,17938,14917,18771,81395,25089,15538,1,0,4
-8.61946,-36.61331,19175,76066,17891,14917,18771,81395,25089,15538,1,0,3
-8.61953,-36.61325,19008,76716,17891,14878,18533,82653,25477,15546,1,0,3
-8.61960,-36.61321,18913,77888,17891,15003,18390,83816,26207,15624,1,0,3
-8.61969,-36.61312,18913,77888,17938,15003,18390,83816,26207,15624,1,0,3
-8.61964,-36.61314,18723,78526,17938,14935,18247,84475,26646,15607,1,0,4
-8.61956,-36.61303,18533,78458,17891,14737,18010,85326,27161,15530,1,0,3
-8.61966,-36.61312,18533,78458,17891,14737,18010,85326,27161,15530,1,0,3
-8.61966,-36.61312,18390,79075,17843,14710,17819,85937,27702,15455,1,0,3
-8.61966,-36.61312,18271,79695,17677,14705,17701,86489,28667,15438,1,0,3
-8.61966,-36.61312,18271,79695,17677,14705,17701,86489,28667,15438,1,0,3
-8.61966,-36.61312,18129,79973,17701,14615,17605,86802,29015,15400,0,0,3
-8.61961,-36.61312,18105,80499,18176,14685,17510,87162,29615,15371,0,0,2
-8.61961,-36.61312,18105,80499,18176,14685,17510,87162,29615,15371,0,0,2
-8.61961,-36.61312,18057,80684,18533,14671,17510,87019,29590,15346,0,0,2
-8.61961,-36.61312,18033,81013,18675,14705,17534,86977,29215,15362,0,0,2
-8.61961,-36.61312,18033,81013,18675,14705,17534,86977,29215,15362,0,0,2
-8.61961,-36.61312,18033,81236,19056,14744,17510,87639,29815,15456,0,0,2
-8.61961,-36.61312,18033,81431,19080,14778,17558,87888,30293,15548,0,0,2
-8.61961,-36.61312,18033,81431,19080,14778,17558,87888,30293,15548,0,0,2
